date,open,close,high,low,volume
2025-01-02,16.14,16.31,16.89,16.06,28895.01
2025-01-03,16.25,16.63,17.28,15.88,58267.59
2025-01-06,17.24,17.99,17.99,17.04,101427.91
2025-01-07,17.27,17.19,17.52,16.56,70953.53
2025-01-08,16.95,17.34,17.81,16.77,62320.11
2025-01-09,16.99,16.69,17.24,16.55,47953.01
2025-01-10,16.64,16.01,16.64,15.9,45093.0
2025-01-13,15.56,15.13,15.75,14.88,28401.0
2025-01-14,15.25,15.77,15.77,15.22,30917.1
2025-01-15,15.76,15.53,15.76,15.43,23756.42
2025-01-16,15.83,15.48,15.84,15.38,21567.0
2025-01-17,15.46,15.41,15.61,15.24,15004.0
2025-01-20,15.42,15.5,15.6,15.21,18707.79
2025-01-21,15.55,15.16,15.65,14.99,20509.0
2025-01-22,15.21,14.93,15.29,14.91,16767.0
2025-01-23,15.07,15.18,15.49,15.07,23887.0
2025-01-24,15.17,15.33,15.45,14.88,23333.0
2025-01-27,15.41,15.16,15.69,15.16,14659.0
2025-02-05,15.5,15.65,15.78,15.33,20463.71
2025-02-06,15.63,15.77,15.8,15.37,22266.79
2025-02-07,15.74,16.05,16.25,15.7,29324.52
2025-02-10,16.08,16.28,16.35,15.98,27308.79
2025-02-11,16.28,15.95,16.29,15.85,25977.0
2025-02-12,15.94,15.95,16.03,15.79,19026.0
2025-02-13,15.97,15.77,16.01,15.71,19684.99
2025-02-14,15.73,16.35,16.52,15.73,46423.48
2025-02-17,16.4,16.28,16.57,16.12,27135.0
2025-02-18,16.41,15.59,16.41,15.49,27307.0
2025-02-19,15.6,15.76,15.82,15.5,17506.0
2025-02-20,15.82,16.02,16.34,15.7,22637.0
2025-02-21,16.02,16.07,16.21,15.7,22842.0
2025-02-24,16.08,16.08,16.12,15.81,20369.0
2025-02-25,15.97,15.83,16.08,15.78,20331.42
2025-02-26,15.87,16.15,16.15,15.79,26272.0
2025-02-27,16.15,16.06,16.21,15.77,22047.0
2025-02-28,16.04,15.4,16.06,15.4,22724.0
2025-03-03,15.44,15.7,15.93,15.4,23292.0
2025-03-04,15.56,15.93,15.94,15.51,18403.0
2025-03-05,15.94,15.68,15.94,15.44,22304.54
2025-03-06,15.64,16.05,16.05,15.62,26281.0
2025-03-07,16.03,15.83,16.05,15.77,15663.0
2025-03-10,15.82,16.0,16.22,15.82,18630.0
2025-03-11,15.93,16.0,16.02,15.7,15662.0
2025-03-12,16.0,15.83,16.09,15.82,20578.0
2025-03-13,15.84,15.71,15.88,15.51,18946.0
2025-03-14,15.72,16.09,16.09,15.59,30029.0
2025-03-17,16.15,16.24,16.42,16.06,31589.0
2025-03-18,16.25,16.4,16.54,16.08,28683.0
2025-03-19,16.39,16.79,16.99,16.26,69429.05
2025-03-20,16.71,17.26,17.91,16.45,107702.58
2025-03-21,17.95,16.86,18.44,16.81,135622.86
2025-03-24,16.31,16.54,17.39,15.96,91496.29
2025-03-25,16.65,15.61,16.66,15.44,78851.53
2025-03-26,15.55,15.83,16.0,15.47,42228.5
2025-03-27,15.83,15.98,16.3,15.33,51476.0
2025-03-28,15.95,15.44,16.2,15.43,47788.0
2025-03-31,15.27,15.17,15.41,14.92,29408.61
2025-04-01,15.19,16.29,16.4,15.19,84293.0
2025-04-02,16.24,16.25,16.43,16.01,41305.0
2025-04-03,16.05,16.2,16.49,15.97,31410.0
2025-04-07,15.27,12.96,15.95,12.96,62512.68
2025-04-08,13.17,13.48,13.86,13.11,42876.67
