date,open,close,high,low,volume
2025-01-02,89.63,84.67,89.87,83.49,109769.75
2025-01-03,84.89,82.2,85.26,81.89,73386.88
2025-01-06,82.59,80.81,83.46,79.99,62394.99
2025-01-07,81.48,82.88,82.89,80.91,59372.44
2025-01-08,82.26,80.2,82.49,77.35,125534.58
2025-01-09,79.87,78.23,81.05,78.08,102785.44
2025-01-10,77.9,75.61,79.99,75.5,113848.17
2025-01-13,74.84,76.92,77.67,74.28,79157.83
2025-01-14,77.35,80.47,80.65,76.4,96415.52
2025-01-15,79.92,79.63,80.55,79.29,57396.16
2025-01-16,80.59,80.25,81.88,78.89,72854.28
2025-01-17,79.66,83.79,84.66,79.4,125429.76
2025-01-20,82.89,81.83,83.39,81.61,96720.58
2025-01-21,82.15,81.34,82.49,80.46,69090.7
2025-01-22,81.09,81.09,82.27,80.59,60070.77
2025-01-23,82.22,80.66,83.99,80.65,77280.13
2025-01-24,80.69,80.67,81.39,80.2,57423.58
2025-01-27,80.67,78.25,80.79,78.25,67270.84
2025-02-05,79.89,79.44,80.78,78.7,72734.93
2025-02-06,79.44,83.34,83.79,78.54,118042.6
2025-02-07,83.37,84.25,85.98,82.79,127089.85
2025-02-10,84.27,84.79,84.87,83.07,89996.26
2025-02-11,84.8,82.84,84.89,82.77,76197.3
2025-02-12,82.8,96.25,98.97,82.29,356110.93
2025-02-13,94.87,91.83,95.83,91.68,240925.95
2025-02-14,90.94,91.96,93.56,89.26,179939.29
2025-02-17,91.08,90.28,92.35,89.53,156929.78
2025-02-18,90.33,87.88,92.13,87.16,166552.94
2025-02-19,87.44,91.96,92.46,87.44,195414.53
2025-02-20,91.97,92.34,94.22,90.38,148629.08
2025-02-21,92.1,94.16,95.75,91.39,202897.02
2025-02-24,92.88,91.25,93.27,89.98,184820.58
2025-02-25,89.9,90.71,92.43,89.58,117495.56
2025-02-26,90.78,91.48,92.34,89.63,113444.22
2025-02-27,91.88,89.38,91.88,87.87,143322.24
2025-02-28,88.67,83.28,89.28,82.92,176602.05
2025-03-03,84.14,82.26,85.58,81.51,115777.77
2025-03-04,81.9,85.37,86.3,81.77,131298.17
2025-03-05,84.99,84.69,86.43,83.94,75626.57
2025-03-06,86.0,86.2,87.18,85.57,104300.46
2025-03-07,85.4,85.14,86.97,84.59,85231.33
2025-03-10,84.79,85.23,85.57,83.94,60515.76
2025-03-11,83.9,86.97,87.03,83.77,96676.58
2025-03-12,87.21,86.24,87.24,86.14,77196.53
2025-03-13,85.9,84.74,86.23,83.78,71597.91
2025-03-14,84.73,86.19,86.76,84.32,77824.98
2025-03-17,86.45,86.46,87.4,85.74,62650.4
2025-03-18,86.78,87.19,88.36,86.17,78553.3
2025-03-19,86.41,87.76,89.45,85.59,97486.65
2025-03-20,87.18,86.12,87.94,86.12,68111.98
2025-03-21,85.69,83.49,86.04,83.49,77371.96
2025-03-24,83.37,83.19,83.88,81.87,52499.12
2025-03-25,83.04,82.72,83.55,82.32,38132.51
2025-03-26,82.79,82.57,83.72,82.55,45366.12
2025-03-27,82.09,81.99,83.75,80.92,50942.08
2025-03-28,81.89,80.95,82.68,80.95,44554.8
2025-03-31,80.8,80.04,80.89,79.49,51312.36
2025-04-01,80.43,80.18,80.87,79.97,35407.43
2025-04-02,80.13,80.49,80.89,79.89,27693.9
2025-04-03,79.89,80.09,81.39,79.57,40315.97
2025-04-07,75.06,71.17,78.5,68.31,141517.34
2025-04-08,73.0,72.2,74.68,70.51,96259.54
2025-04-09,71.35,74.35,75.4,69.42,118215.36
2025-04-10,75.79,75.06,77.4,75.05,93003.19
2025-04-11,76.68,85.31,88.45,75.9,323502.49
2025-04-14,84.46,82.78,84.89,82.22,148186.32
2025-04-15,82.48,81.07,82.97,80.45,85279.41
2025-04-16,80.89,82.52,83.89,80.88,107616.1
2025-04-17,81.65,82.44,84.39,81.39,105820.17
2025-04-18,81.7,81.13,81.82,80.27,66052.12
2025-04-21,80.8,80.95,81.19,80.14,52069.84
2025-04-22,80.4,79.95,81.01,78.99,60996.79
2025-04-23,79.99,80.15,80.69,79.33,58081.99
2025-04-24,79.9,77.8,79.99,77.6,67952.37
2025-04-25,77.9,75.35,78.35,72.99,112294.72
2025-04-28,73.5,72.62,73.8,72.46,88908.78
2025-04-29,72.5,74.6,75.26,72.01,84794.42
2025-04-30,74.3,74.75,75.24,73.83,58608.86
2025-05-06,75.26,76.3,76.3,75.0,55145.43
2025-05-07,77.71,75.79,78.1,75.25,62200.86
2025-05-08,75.52,76.1,76.49,75.39,48684.98
2025-05-09,76.18,74.15,76.18,74.09,51688.0
2025-05-12,75.13,76.05,76.15,74.71,57469.94
2025-05-13,77.0,75.46,77.2,75.37,52584.23
2025-05-14,75.46,75.61,76.15,74.73,48898.82
2025-05-15,75.3,73.4,75.6,73.39,49012.93
2025-05-16,73.34,73.4,74.0,73.23,33423.56
2025-05-19,71.0,71.6,72.37,70.5,66973.36
2025-05-20,71.6,72.82,73.27,71.3,47742.8
2025-05-21,72.72,71.92,72.95,71.56,38248.74
2025-05-22,71.5,71.2,72.8,71.11,34989.8
2025-05-23,71.19,69.81,71.5,69.8,45354.4
2025-05-26,69.99,71.0,71.18,69.99,36039.91
2025-05-27,70.8,70.46,70.94,70.17,21508.74
2025-05-28,70.51,70.0,70.88,69.91,26036.16
2025-05-29,69.86,71.61,71.88,69.66,49342.98
2025-05-30,71.2,70.46,71.37,70.21,35301.24
2025-06-03,70.0,70.6,71.15,69.91,29056.85
2025-06-04,70.63,71.04,71.38,70.51,29752.04
2025-06-05,71.13,71.39,71.75,70.59,53514.13
2025-06-06,71.41,71.17,71.7,70.84,41644.7
2025-06-09,71.25,72.36,73.18,71.0,55955.03
2025-06-10,72.28,70.73,72.41,70.08,51699.44
2025-06-11,70.9,70.89,71.8,70.76,38204.12
2025-06-12,70.77,70.49,71.46,70.25,41435.49
2025-06-13,70.2,69.43,70.4,69.3,61033.25
2025-06-16,69.02,69.5,69.75,69.0,29849.39
2025-06-17,69.6,69.71,70.25,69.5,32838.7
2025-06-18,69.5,69.66,70.3,69.01,44125.59
2025-06-19,69.4,68.56,69.93,68.54,48526.23
2025-06-20,68.78,67.33,69.2,67.27,47537.36
2025-06-23,67.0,68.3,68.86,66.9,48700.78
2025-06-24,68.58,69.63,69.72,68.3,66770.78
2025-06-25,69.72,70.86,71.0,69.25,88421.1
2025-06-26,70.86,69.91,71.18,69.91,60139.6
2025-06-27,70.69,70.37,71.42,70.07,63524.88
2025-06-30,70.83,71.37,71.41,70.56,58342.72
2025-07-01,71.18,70.89,71.69,70.7,52350.55
2025-07-02,70.6,69.87,70.6,69.52,50420.8
2025-07-03,69.8,72.13,73.88,69.65,119324.02
2025-07-04,71.71,70.79,71.89,70.45,69824.11
2025-07-07,70.69,70.32,70.95,70.08,32030.82
2025-07-08,70.34,71.3,71.63,70.34,52337.36
2025-07-09,71.3,70.85,71.62,70.6,48285.4
2025-07-10,70.66,70.98,71.2,70.51,38233.62
2025-07-11,70.98,71.68,72.2,70.56,63265.84
2025-07-14,71.68,71.42,71.8,71.25,39037.4
2025-07-15,71.25,70.97,71.85,70.18,53345.35
2025-07-16,70.9,72.07,74.0,70.9,108178.63
2025-07-17,71.92,73.08,73.13,71.41,73730.91
2025-07-18,73.09,72.7,73.85,72.4,61434.07
2025-07-21,72.7,72.7,72.98,72.4,45320.19
2025-07-22,72.79,73.08,73.35,72.4,66254.86
2025-07-23,73.01,73.68,74.5,72.8,97544.34
2025-07-24,73.7,76.47,76.99,73.51,145278.73
2025-07-25,76.5,76.73,77.65,75.8,106955.65
2025-07-28,77.2,75.86,77.23,75.66,72188.94
2025-07-29,75.8,76.13,76.6,75.7,63391.53
2025-07-30,75.94,75.6,77.22,74.88,94544.94
2025-07-31,75.47,74.34,76.72,74.04,94053.59
