date,open,close,high,low,volume
2025-01-02,28.78,28.84,29.55,28.28,24760.96
2025-01-03,28.84,26.48,28.84,26.26,42208.0
2025-01-06,26.45,26.07,26.58,25.46,22753.6
2025-01-07,26.26,26.9,26.91,26.01,18359.7
2025-01-08,26.76,26.67,26.88,25.77,22835.04
2025-01-09,26.7,27.66,28.06,26.51,31966.6
2025-01-10,27.55,27.66,28.95,27.39,42941.0
2025-01-13,27.15,27.76,28.46,26.67,31887.0
2025-01-14,27.84,29.25,29.25,27.6,40881.76
2025-01-15,29.31,29.32,30.44,29.25,46008.7
2025-01-16,29.52,28.9,29.99,28.76,32404.59
2025-01-17,29.02,28.47,29.08,28.34,21557.3
2025-01-20,28.61,28.74,29.06,28.29,26425.41
2025-01-21,28.91,29.62,29.71,28.74,40558.68
2025-01-22,29.46,29.51,30.05,29.12,31325.65
2025-01-23,29.86,28.88,30.26,28.85,48853.18
2025-01-24,28.44,28.33,28.56,27.03,65264.49
2025-01-27,28.62,27.55,28.75,27.48,26403.07
2025-02-05,27.87,28.18,28.51,27.48,23609.54
2025-02-06,28.06,29.92,29.94,28.04,45123.32
2025-02-07,29.86,29.58,30.03,29.16,42833.8
2025-02-10,29.48,29.56,29.56,28.91,33664.45
2025-02-11,29.48,29.07,29.51,28.82,28875.37
2025-02-12,28.96,29.94,30.26,28.56,53786.33
2025-02-13,29.84,29.56,30.47,29.52,48055.6
2025-02-14,29.5,29.04,29.77,28.72,39368.2
2025-02-17,29.14,29.61,29.62,28.76,37400.1
2025-02-18,29.68,28.43,29.94,28.41,38945.48
2025-02-19,28.43,30.29,30.29,28.32,76521.7
2025-02-20,30.64,31.39,31.78,30.19,108147.84
2025-02-21,31.15,31.47,32.01,30.56,74817.49
2025-02-24,31.24,31.42,31.9,30.34,58268.18
2025-02-25,30.98,31.76,32.25,30.66,65056.7
2025-02-26,31.98,32.56,33.26,31.71,119294.3
2025-02-27,32.81,32.56,33.71,31.75,84993.64
2025-02-28,33.43,30.51,33.86,30.31,88568.14
2025-03-03,30.63,30.16,31.03,29.86,52375.3
2025-03-04,29.86,30.94,31.1,29.84,40885.94
2025-03-05,30.8,32.61,32.64,30.8,75236.84
2025-03-06,32.61,32.5,33.23,32.18,64433.2
2025-03-07,32.64,35.24,39.0,32.64,210393.42
2025-03-10,39.94,36.88,41.44,36.43,238515.86
2025-03-11,37.16,42.32,44.26,37.16,308507.01
2025-03-12,41.94,40.58,42.46,39.64,282917.63
2025-03-13,40.04,41.29,42.6,38.92,232542.49
2025-03-14,40.0,38.38,40.43,37.3,197037.05
2025-03-17,37.45,38.8,39.2,36.95,135819.1
2025-03-18,38.39,38.63,39.21,37.69,128064.26
2025-03-19,38.35,36.51,39.34,36.3,145270.78
2025-03-20,36.15,36.26,36.9,35.73,97965.22
2025-03-21,36.12,36.66,37.32,35.25,114557.94
2025-03-24,36.04,35.25,36.44,33.6,112074.6
2025-03-25,34.97,33.85,36.01,33.71,80911.46
2025-03-26,33.54,33.74,35.06,33.54,61685.54
2025-03-27,33.66,32.93,33.83,32.55,59554.3
2025-03-28,33.28,32.74,33.5,32.52,37098.6
2025-03-31,32.51,32.21,32.51,31.03,55981.14
2025-04-01,32.17,31.69,32.55,31.58,40844.0
2025-04-02,31.69,32.07,32.4,31.55,38703.58
2025-04-03,31.74,31.32,32.43,31.06,44275.3
2025-04-07,28.83,25.06,30.06,25.06,70170.64
2025-04-08,25.43,25.02,26.26,24.04,65762.6
2025-04-09,24.07,25.87,26.14,22.25,75274.1
2025-04-10,26.4,26.57,27.56,26.4,70350.63
2025-04-11,26.3,27.11,27.66,26.05,55547.53
2025-04-14,27.36,27.4,28.04,27.26,39546.08
2025-04-15,27.36,27.28,27.6,26.92,28503.0
2025-04-16,27.37,26.91,28.24,26.46,48597.7
2025-04-17,26.86,26.76,27.46,26.62,32122.8
2025-04-18,26.75,26.78,27.1,26.46,22611.0
2025-04-21,26.63,28.68,28.68,26.62,62669.3
2025-04-22,28.2,28.29,28.54,27.86,37667.2
2025-04-23,28.54,28.95,29.24,28.38,45690.0
2025-04-24,28.82,28.84,29.31,28.22,49943.6
2025-04-25,29.64,29.04,30.23,28.84,46534.38
2025-04-28,28.7,28.52,29.44,28.48,34736.6
2025-04-29,28.31,29.9,30.12,28.16,67154.38
2025-04-30,30.84,32.57,33.61,30.46,124057.27
2025-05-06,31.8,33.19,33.23,31.8,105608.84
2025-05-07,33.43,33.06,33.75,32.55,76381.58
2025-05-08,33.02,33.6,33.82,32.81,76218.88
2025-05-09,34.13,32.71,35.42,32.55,95546.68
2025-05-12,32.72,33.71,34.05,32.72,80209.96
2025-05-13,33.76,33.05,34.09,32.95,58398.6
2025-05-14,32.81,32.61,33.37,32.48,44041.79
2025-05-15,32.61,32.22,32.85,31.98,34516.11
2025-05-16,32.08,32.61,33.22,32.05,36390.8
2025-05-19,32.95,32.65,33.25,32.25,48744.1
2025-05-20,32.65,32.39,32.65,31.98,25798.92
2025-05-21,32.34,31.6,32.55,31.14,41829.68
2025-05-22,31.47,31.04,31.9,31.0,24797.44
2025-05-23,30.96,30.79,31.92,30.68,34006.3
2025-05-26,30.58,31.07,31.64,30.58,32904.92
2025-05-27,30.81,30.77,31.21,30.36,27052.0
2025-05-28,30.81,30.47,31.05,30.3,22832.34
2025-05-29,30.53,36.56,36.56,30.53,183477.16
2025-05-30,35.95,35.52,37.81,33.95,225730.01
2025-06-03,36.96,37.65,38.91,35.87,222154.82
2025-06-04,38.82,38.27,42.94,38.14,233104.88
2025-06-05,38.3,44.38,45.93,38.29,313995.35
2025-06-06,45.03,45.61,46.59,42.99,288596.48
2025-06-09,45.64,44.74,45.79,42.95,221029.21
2025-06-10,45.17,40.54,48.41,40.42,289114.22
2025-06-11,39.93,38.54,41.02,37.84,204130.39
2025-06-12,36.35,36.55,37.05,35.75,194732.52
2025-06-13,36.16,35.02,36.48,34.96,128443.0
2025-06-16,34.89,35.27,35.48,34.89,65409.01
2025-06-17,35.49,35.38,35.83,34.7,92512.54
2025-06-18,34.95,34.95,35.29,34.4,69543.12
2025-06-19,34.77,34.1,35.2,33.99,70354.25
2025-06-20,34.1,33.11,34.27,32.98,64212.63
2025-06-23,32.78,33.21,33.41,32.74,68962.24
2025-06-24,33.41,34.48,34.71,33.41,98861.69
2025-06-25,34.34,34.73,35.09,34.14,92398.71
2025-06-26,34.65,34.6,35.15,34.46,78432.82
2025-06-27,35.6,34.45,35.74,34.35,86970.0
2025-06-30,34.31,34.95,35.18,34.3,74866.8
2025-07-01,35.57,35.38,36.35,35.11,113599.8
2025-07-02,35.19,34.85,35.57,34.55,67555.0
2025-07-03,35.1,36.58,38.0,34.9,187271.5
2025-07-04,36.04,35.35,36.46,35.19,114645.21
2025-07-07,35.17,35.42,35.53,34.7,66715.3
2025-07-08,35.29,36.95,37.29,35.23,119279.03
2025-07-09,38.8,36.55,39.5,36.43,175151.2
2025-07-10,36.03,35.55,36.45,35.24,97150.21
2025-07-11,35.56,35.73,36.04,34.9,73015.41
2025-07-14,35.98,37.97,38.36,35.92,164031.3
2025-07-15,37.97,37.4,38.2,36.96,90161.57
2025-07-16,37.3,37.48,38.18,36.8,93146.0
2025-07-17,37.42,37.24,37.67,36.83,80488.8
2025-07-18,37.49,37.49,37.96,36.68,114931.42
2025-07-21,37.49,37.88,37.98,36.91,84991.44
2025-07-22,37.68,37.0,38.44,36.95,89011.74
2025-07-23,37.35,37.88,39.3,36.38,134131.68
2025-07-24,38.19,37.96,38.5,37.64,82565.7
2025-07-25,38.0,37.4,38.12,37.12,59431.12
2025-07-28,38.99,42.09,44.5,38.99,264746.4
2025-07-29,41.1,41.36,41.97,40.02,163546.37
2025-07-30,43.91,43.15,45.22,41.95,225263.29
2025-07-31,42.53,44.14,47.4,42.53,198866.63
2025-08-01,43.74,41.72,43.74,41.55,145727.28
2025-08-04,41.8,43.64,44.13,41.65,141544.22
2025-08-05,45.8,42.8,45.8,42.68,134202.5
2025-08-06,42.72,44.64,45.11,42.72,168607.14
2025-08-07,44.46,45.91,47.34,43.85,169325.03
2025-08-08,46.3,46.56,48.61,45.32,180422.62
2025-08-11,47.46,55.87,55.87,47.3,192761.5
2025-08-12,55.88,54.32,58.5,53.7,293182.65
2025-08-13,54.01,55.89,55.96,52.28,234390.64
2025-08-14,56.45,51.59,56.89,51.1,191947.14
2025-08-15,53.72,54.19,58.61,53.28,245001.87
2025-08-18,53.8,53.1,54.36,51.88,201790.94
2025-08-19,52.58,50.6,52.58,50.53,145471.6
2025-08-20,51.38,50.32,51.98,49.68,93449.51
2025-08-21,49.59,49.83,50.93,49.5,71199.73
2025-08-22,50.41,50.09,50.5,49.22,63230.49
2025-08-25,50.09,52.01,52.39,49.98,130489.0
2025-08-26,51.47,51.59,52.48,50.61,85998.81
2025-08-27,51.0,49.8,51.8,49.77,84464.34
2025-08-28,50.55,48.75,51.66,46.88,94492.78
2025-08-29,47.45,47.88,49.0,46.88,62975.97
2025-09-01,47.5,47.19,48.34,47.0,70517.33
2025-09-02,47.77,51.0,51.53,47.74,143682.88
2025-09-03,50.15,48.42,50.7,47.5,75139.35
2025-09-04,47.4,44.95,47.87,44.02,78684.97
2025-09-05,45.3,46.7,46.85,44.92,52921.66
2025-09-08,47.68,49.83,50.8,47.68,109376.48
2025-09-09,48.88,47.89,49.49,47.63,74290.7
2025-09-10,47.42,47.43,48.6,47.12,47080.31
2025-09-11,46.85,48.61,48.89,46.35,54152.46
2025-09-12,48.12,47.89,49.48,47.7,46664.6
2025-09-15,47.53,46.54,48.24,46.5,51868.13
2025-09-16,46.58,48.67,48.99,46.58,72839.41
2025-09-17,48.76,49.86,50.3,48.19,79891.55
2025-09-18,49.25,48.61,50.85,47.78,99584.12
2025-09-19,47.89,46.92,48.6,46.6,58463.49
2025-09-22,46.6,47.05,47.68,46.17,42653.37
2025-09-23,47.06,48.0,48.86,46.24,78139.39
2025-09-24,47.49,49.46,49.74,46.41,78434.93
2025-09-25,49.73,48.41,50.44,48.39,61761.88
2025-09-26,48.01,47.2,48.54,46.96,45153.82
2025-09-29,46.88,49.45,50.2,46.5,68716.3
2025-09-30,49.44,49.6,50.68,49.19,70898.04
