date,open,close,high,low,volume
2025-01-02,5.82,5.65,5.89,5.6,193573.27
2025-01-03,5.67,5.59,5.73,5.54,171260.05
2025-01-06,5.58,5.6,5.65,5.51,139125.64
2025-01-07,5.58,5.58,5.62,5.5,141565.16
2025-01-08,5.57,5.53,5.58,5.41,159835.0
2025-01-09,5.51,5.49,5.54,5.46,79126.56
2025-01-10,5.48,5.39,5.51,5.39,105187.35
2025-01-13,5.36,5.4,5.41,5.32,112661.98
2025-01-14,5.39,5.55,5.56,5.39,165190.75
2025-01-15,5.55,5.52,5.56,5.5,104114.98
2025-01-16,5.53,5.54,5.64,5.51,133103.01
2025-01-17,5.53,5.59,5.6,5.48,98372.1
2025-01-20,5.61,5.58,5.66,5.57,106928.1
2025-01-21,5.6,5.55,5.62,5.52,77409.3
2025-01-22,5.53,5.52,5.55,5.46,80572.32
2025-01-23,5.54,5.57,5.64,5.54,138958.47
2025-01-24,5.55,5.68,5.7,5.55,149194.07
2025-01-27,5.66,5.74,5.77,5.66,165634.02
2025-02-05,5.75,5.61,5.76,5.59,128099.0
2025-02-06,5.59,5.67,5.68,5.57,103626.56
2025-02-07,5.66,5.7,5.73,5.63,147969.48
2025-02-10,5.7,5.7,5.76,5.69,124141.98
2025-02-11,5.71,5.73,5.73,5.66,121302.9
2025-02-12,5.71,5.73,5.75,5.68,100133.33
2025-02-13,5.74,5.72,5.76,5.69,118183.77
2025-02-14,5.73,5.66,5.73,5.62,187054.3
2025-02-17,5.64,5.66,5.68,5.62,111169.71
2025-02-18,5.65,5.55,5.65,5.53,140216.94
2025-02-19,5.56,5.56,5.58,5.53,94385.8
2025-02-20,5.55,5.54,5.57,5.52,90011.79
2025-02-21,5.54,5.53,5.56,5.47,119091.31
2025-02-24,5.51,5.56,5.6,5.5,110376.38
2025-02-25,5.53,5.48,5.54,5.47,89641.75
2025-02-26,5.46,5.56,5.57,5.46,98571.71
2025-02-27,5.57,5.58,5.6,5.52,103053.78
2025-02-28,5.55,5.52,5.61,5.49,149652.94
2025-03-03,5.53,5.5,5.59,5.49,120522.41
2025-03-04,5.49,5.52,5.54,5.47,65558.07
2025-03-05,5.52,5.46,5.54,5.43,104816.07
2025-03-06,5.48,5.55,5.58,5.43,167063.11
2025-03-07,5.54,5.48,5.55,5.47,104590.0
2025-03-10,5.48,5.49,5.53,5.47,66806.0
2025-03-11,5.47,5.56,5.56,5.44,102398.65
2025-03-12,5.56,5.54,5.56,5.52,94480.26
2025-03-13,5.54,5.56,5.57,5.48,120243.53
2025-03-14,5.55,5.64,5.64,5.55,163296.24
2025-03-17,5.68,5.63,5.68,5.62,120621.06
2025-03-18,5.64,5.71,5.74,5.6,208218.33
2025-03-19,5.66,5.63,5.66,5.61,145532.29
2025-03-20,5.62,5.63,5.68,5.61,98911.01
2025-03-21,5.62,5.66,5.72,5.61,157192.97
2025-03-24,5.67,5.63,5.69,5.57,121023.16
2025-03-25,5.63,5.75,5.75,5.6,192465.28
2025-03-26,5.73,5.72,5.75,5.68,110156.28
2025-03-27,5.7,5.66,5.72,5.64,116729.56
2025-03-28,5.65,5.65,5.7,5.6,125642.96
2025-03-31,5.62,5.57,5.69,5.54,125611.96
2025-04-01,5.57,5.63,5.65,5.56,88731.85
2025-04-02,5.63,5.65,5.67,5.6,74997.7
