date,open,close,high,low,volume
2025-01-02,4.83,4.79,4.94,4.73,639067.19
2025-01-03,4.78,4.77,4.87,4.73,564869.34
2025-01-06,4.77,4.64,4.78,4.59,521408.66
2025-01-07,4.66,4.68,4.69,4.6,336613.0
2025-01-08,4.66,4.68,4.7,4.61,366252.34
2025-01-09,4.66,4.8,4.8,4.66,376785.34
2025-01-10,4.88,4.8,4.92,4.79,482370.0
2025-01-13,4.76,4.84,4.86,4.72,383257.0
2025-01-14,4.83,4.92,4.95,4.82,579173.19
2025-01-15,4.91,4.89,4.93,4.87,355578.0
2025-01-16,4.91,4.96,4.96,4.91,492138.0
2025-01-17,4.97,5.1,5.19,4.93,927018.39
2025-01-20,5.09,5.06,5.15,5.04,554416.0
2025-01-21,5.08,5.23,5.27,5.04,728164.85
2025-01-22,5.19,5.21,5.23,5.13,515496.93
2025-01-23,5.13,4.95,5.14,4.95,1272255.26
2025-01-24,4.92,4.96,5.0,4.91,490545.93
2025-01-27,4.96,4.97,5.01,4.95,325353.23
2025-02-05,4.97,4.78,4.97,4.73,949146.05
2025-02-06,4.79,4.87,4.87,4.77,458751.29
2025-02-07,4.85,4.87,4.91,4.83,560685.31
2025-02-10,4.89,4.87,4.9,4.85,417039.13
2025-02-11,4.88,4.92,4.98,4.85,616395.65
2025-02-12,4.9,4.89,4.91,4.84,520643.05
2025-02-13,4.89,4.86,4.89,4.85,345104.89
2025-02-14,4.88,4.86,4.88,4.83,341243.19
2025-02-17,4.82,4.79,4.82,4.72,540029.71
2025-02-18,4.8,4.76,4.83,4.75,338326.43
2025-02-19,4.77,4.78,4.8,4.75,304020.88
2025-02-20,4.77,4.75,4.78,4.74,318510.05
2025-02-21,4.75,4.72,4.77,4.71,454821.51
2025-02-24,4.7,4.81,4.84,4.65,701038.81
2025-02-25,4.78,4.78,4.86,4.76,473790.05
2025-02-26,4.77,4.83,4.83,4.77,372598.46
2025-02-27,4.83,4.82,4.86,4.79,362200.0
2025-02-28,4.81,4.72,4.81,4.71,476276.0
2025-03-03,4.72,4.8,4.85,4.71,498860.56
2025-03-04,4.79,4.81,4.82,4.76,282433.88
2025-03-05,4.81,4.92,4.96,4.78,790418.71
2025-03-06,4.94,4.93,5.0,4.91,574534.44
2025-03-07,4.93,5.05,5.14,4.93,959825.5
2025-03-10,5.16,5.31,5.31,5.09,1643686.79
2025-03-11,5.31,5.46,5.56,5.24,1856007.02
2025-03-12,5.5,5.45,5.54,5.38,1126932.05
2025-03-13,5.49,5.48,5.54,5.43,973775.98
2025-03-14,5.63,5.75,5.75,5.63,1187233.57
2025-03-17,5.8,5.99,6.03,5.71,1693945.67
2025-03-18,5.99,5.69,6.27,5.69,2521743.7
2025-03-19,5.78,5.98,5.98,5.68,1691304.36
2025-03-20,6.09,6.04,6.21,5.85,1849934.88
2025-03-21,5.94,5.94,6.04,5.8,1281781.05
2025-03-24,5.98,6.07,6.08,5.83,1141476.69
2025-03-25,6.0,5.92,6.04,5.87,1111710.01
2025-03-26,6.01,5.92,6.08,5.91,888023.52
2025-03-27,5.8,5.63,5.8,5.62,1434141.01
2025-03-28,5.61,5.64,5.72,5.56,613762.22
2025-03-31,5.64,5.5,5.67,5.47,780178.89
2025-04-01,5.5,5.53,5.59,5.5,452852.04
2025-04-02,5.55,5.71,5.8,5.54,803901.95
2025-04-03,5.64,5.7,5.72,5.61,551421.88
2025-04-07,5.42,5.42,5.42,5.42,91917.0
2025-04-08,5.14,5.14,5.17,5.14,705922.0
2025-04-09,4.89,4.99,5.01,4.89,1543958.37
2025-04-10,5.16,5.14,5.24,5.08,920245.0
2025-04-11,5.15,5.19,5.24,5.11,662037.03
2025-04-14,5.27,5.45,5.45,5.27,544209.86
2025-04-15,5.49,5.55,5.64,5.47,868332.83
2025-04-16,5.54,5.44,5.59,5.41,646045.2
2025-04-17,5.47,5.48,5.55,5.47,453751.0
2025-04-18,5.48,5.62,5.64,5.48,623121.05
2025-04-21,5.6,5.85,5.89,5.6,730924.99
2025-04-22,5.88,5.83,5.92,5.76,617084.34
2025-04-23,5.87,5.84,5.88,5.79,447898.94
2025-04-24,5.82,5.93,5.97,5.82,646787.26
2025-04-25,5.95,5.78,5.96,5.72,724331.54
2025-04-28,5.49,5.49,5.49,5.49,272073.0
2025-04-29,5.39,5.41,5.54,5.36,873353.5
2025-04-30,5.42,5.39,5.49,5.36,523500.0
2025-05-06,5.39,5.45,5.48,5.39,530701.99
2025-05-07,5.49,5.55,5.58,5.45,580133.0
2025-05-08,5.51,5.56,5.58,5.49,360593.96
2025-05-09,5.55,5.64,5.72,5.53,520191.9
2025-05-12,5.67,5.65,5.7,5.6,375436.54
2025-05-13,5.68,5.54,5.69,5.46,564170.0
2025-05-14,5.55,5.55,5.59,5.52,327838.05
2025-05-15,5.53,5.45,5.54,5.45,377343.0
2025-05-16,5.44,5.47,5.54,5.44,286024.42
2025-05-19,5.46,5.48,5.5,5.41,351551.0
2025-05-20,5.48,5.59,5.61,5.47,454533.24
2025-05-21,5.59,5.61,5.64,5.56,366323.39
2025-05-22,5.6,5.51,5.6,5.51,361728.0
2025-05-23,5.5,5.45,5.54,5.45,312046.05
2025-05-26,5.48,5.51,5.54,5.47,235108.0
2025-05-27,5.52,5.48,5.53,5.47,204855.7
2025-05-28,5.48,5.42,5.49,5.41,294740.0
2025-05-29,5.43,5.46,5.48,5.41,253712.2
2025-05-30,5.45,5.4,5.45,5.37,315443.0
2025-06-03,5.41,5.45,5.47,5.41,300425.0
2025-06-04,5.45,5.6,5.65,5.43,557164.22
2025-06-05,5.59,5.67,5.69,5.56,514701.02
2025-06-06,5.71,5.74,5.83,5.7,568716.05
2025-06-09,5.72,5.75,5.76,5.68,457798.05
2025-06-10,5.77,5.69,5.79,5.64,531772.0
2025-06-11,5.68,5.81,5.83,5.67,509300.07
2025-06-12,5.79,5.84,5.85,5.77,416418.97
2025-06-13,5.86,5.86,5.99,5.79,656546.05
2025-06-16,5.87,6.0,6.04,5.86,660435.0
2025-06-17,5.97,6.0,6.03,5.9,506909.11
2025-06-18,6.01,5.92,6.03,5.87,492805.0
2025-06-19,5.93,5.75,5.99,5.72,683626.04
2025-06-20,5.76,5.76,5.8,5.74,323409.0
2025-06-23,5.72,5.89,5.92,5.71,458662.83
2025-06-24,5.9,5.95,5.97,5.88,368023.28
2025-06-25,5.95,5.96,5.98,5.93,346418.18
2025-06-26,5.97,5.91,6.03,5.9,545545.0
2025-06-27,6.02,6.15,6.18,5.98,877256.59
2025-06-30,6.25,6.32,6.38,6.17,1063020.86
2025-07-01,6.3,6.59,6.64,6.29,1593052.68
2025-07-02,6.56,6.66,6.77,6.53,1192734.13
2025-07-03,6.65,6.84,6.84,6.57,1069005.68
2025-07-04,6.81,6.78,6.94,6.76,1060736.91
2025-07-07,6.74,7.12,7.12,6.72,1206277.65
2025-07-08,7.14,7.31,7.41,7.12,1320284.19
2025-07-09,7.41,7.26,7.46,7.2,1085251.83
2025-07-10,7.2,6.9,7.24,6.9,1788804.42
2025-07-11,6.92,7.21,7.24,6.92,1228993.16
2025-07-14,7.24,7.31,7.44,7.2,1126138.4
2025-07-15,7.32,7.18,7.34,7.06,964842.59
2025-07-16,7.18,7.28,7.34,7.14,772138.35
2025-07-17,7.28,7.18,7.28,7.14,614878.7
2025-07-18,7.2,7.08,7.22,7.06,668588.59
2025-07-21,7.14,7.35,7.36,7.08,815827.47
2025-07-22,7.35,7.72,7.72,7.35,1070341.75
2025-07-23,7.85,7.65,7.98,7.65,1337077.97
2025-07-24,7.72,8.02,8.02,7.67,1119198.66
2025-07-25,8.02,8.05,8.18,7.9,1121020.38
2025-07-28,7.99,7.98,8.03,7.9,673995.88
2025-07-29,7.96,7.92,8.13,7.82,824085.9
2025-07-30,7.82,7.85,7.86,7.52,1192175.78
2025-07-31,7.7,7.53,7.79,7.5,1048662.02
2025-08-01,7.58,7.91,7.91,7.57,861995.58
2025-08-04,7.98,8.08,8.2,7.91,1082539.62
2025-08-05,8.06,7.89,8.06,7.72,965404.42
2025-08-06,7.85,7.88,8.07,7.85,672422.04
2025-08-07,7.86,7.94,7.95,7.75,510005.67
2025-08-08,7.92,7.96,8.04,7.89,463621.6
2025-08-11,8.04,7.96,8.04,7.91,457662.21
2025-08-12,7.96,7.91,7.96,7.81,480013.32
2025-08-14,8.01,7.51,8.31,7.5,2709282.16
2025-08-15,7.48,8.19,8.26,7.44,3590463.32
2025-08-18,8.03,7.9,8.03,7.78,2176049.0
2025-08-19,7.83,7.79,7.98,7.71,1309923.18
2025-08-20,7.75,7.79,7.86,7.65,776685.1
2025-08-21,7.86,7.83,8.04,7.78,1096760.91
2025-08-22,7.84,7.82,7.85,7.73,756218.55
2025-08-25,7.92,8.4,8.48,7.86,2811099.07
2025-08-26,8.36,8.21,8.37,8.17,1186091.73
2025-08-27,8.18,7.94,8.27,7.93,1429386.8
2025-08-28,7.91,7.87,8.01,7.61,1514524.9
2025-08-29,8.24,8.66,8.66,8.18,3255735.94
2025-09-01,8.95,9.19,9.43,8.78,3361257.13
2025-09-02,9.19,9.02,9.28,8.9,2130827.23
2025-09-03,9.2,8.99,9.39,8.81,2309847.0
2025-09-04,8.92,8.55,9.14,8.34,2034269.19
2025-09-05,8.59,8.8,8.86,8.43,1269669.72
2025-09-08,8.94,8.89,8.94,8.73,1188684.09
2025-09-09,8.86,8.82,9.04,8.74,1348209.0
2025-09-10,8.71,8.63,8.75,8.5,1116107.28
2025-09-11,8.7,8.84,8.88,8.58,979117.15
2025-09-12,8.89,9.05,9.16,8.88,1573427.05
2025-09-15,9.03,8.77,9.03,8.75,1124517.43
2025-09-16,8.85,8.76,8.9,8.54,1033274.61
2025-09-17,8.67,8.75,8.77,8.6,768608.52
2025-09-18,8.63,8.4,8.64,8.28,1290193.52
2025-09-19,8.34,8.44,8.53,8.24,689745.39
2025-09-22,8.58,8.18,8.62,8.17,1052327.05
2025-09-23,8.09,8.2,8.25,8.05,836977.27
2025-09-24,8.14,8.32,8.38,8.07,765900.41
2025-09-25,8.7,8.6,8.8,8.53,1591195.13
2025-09-26,8.61,9.06,9.33,8.61,2818013.66
2025-09-29,9.25,9.38,9.42,9.04,2063475.1
2025-09-30,9.56,10.32,10.32,9.56,4455393.72
