date,open,close,high,low,volume
2025-01-02,4.49,4.39,4.58,4.35,492718.24
2025-01-03,4.45,4.4,4.51,4.38,363236.33
2025-01-06,4.39,4.42,4.44,4.31,512786.55
2025-01-07,4.41,4.35,4.43,4.28,417297.61
2025-01-08,4.32,4.32,4.38,4.23,387505.5
2025-01-09,4.32,4.32,4.36,4.26,237343.15
2025-01-10,4.36,4.29,4.4,4.24,332794.52
2025-01-13,4.25,4.31,4.33,4.2,263826.38
2025-01-14,4.32,4.29,4.35,4.2,560558.01
2025-01-15,4.26,4.25,4.32,4.24,333949.91
2025-01-16,4.25,4.33,4.34,4.23,398499.87
2025-01-17,4.33,4.24,4.33,4.21,270312.6
2025-01-20,4.27,4.25,4.31,4.23,362524.0
2025-01-21,4.26,4.14,4.28,4.12,331766.56
2025-01-22,4.13,4.16,4.18,4.09,214712.95
2025-01-23,4.18,4.15,4.23,4.14,243903.02
2025-01-24,4.15,4.23,4.28,4.14,349466.53
2025-01-27,4.23,4.45,4.5,4.23,468729.2
2025-02-05,4.46,4.3,4.47,4.29,445751.68
2025-02-06,4.3,4.26,4.38,4.23,405443.21
2025-02-07,4.25,4.37,4.38,4.24,367753.38
2025-02-10,4.39,4.31,4.44,4.31,305805.75
2025-02-11,4.3,4.34,4.42,4.29,297967.69
2025-02-12,4.35,4.28,4.37,4.26,257020.0
2025-02-13,4.27,4.26,4.31,4.24,218079.0
2025-02-14,4.25,4.21,4.27,4.19,262733.96
2025-02-17,4.2,4.21,4.23,4.16,209128.02
2025-02-18,4.2,4.23,4.24,4.18,241266.27
2025-02-19,4.22,4.21,4.25,4.18,229400.4
2025-02-20,4.21,4.18,4.21,4.14,266582.4
2025-02-21,4.18,4.16,4.22,4.15,229335.57
2025-02-24,4.17,4.16,4.21,4.14,345110.86
2025-02-25,4.15,4.13,4.19,4.1,240033.09
2025-02-26,4.14,4.37,4.38,4.13,655540.36
2025-02-27,4.39,4.53,4.54,4.32,799293.32
2025-02-28,4.5,4.6,4.61,4.47,561147.57
2025-03-03,4.61,4.58,4.69,4.55,480001.66
2025-03-04,4.58,4.58,4.64,4.53,292673.42
2025-03-05,4.58,4.55,4.6,4.44,336550.16
2025-03-06,4.55,4.35,4.56,4.31,785115.92
2025-03-07,4.34,4.58,4.63,4.32,809587.5
2025-03-10,4.58,4.49,4.67,4.42,505208.28
2025-03-11,4.49,4.62,4.63,4.46,410463.21
2025-03-12,4.64,4.53,4.64,4.51,267869.1
2025-03-13,4.5,4.56,4.59,4.47,344590.5
2025-03-14,4.56,4.61,4.62,4.46,414380.6
2025-03-17,4.6,4.56,4.62,4.52,346206.8
2025-03-18,4.57,4.47,4.57,4.45,342581.83
2025-03-19,4.48,4.41,4.48,4.38,360201.55
2025-03-20,4.42,4.43,4.46,4.31,501790.0
2025-03-21,4.46,4.52,4.65,4.44,721607.66
2025-03-24,4.53,4.65,4.67,4.44,676361.82
2025-03-25,4.64,4.61,4.69,4.57,477121.69
2025-03-26,4.58,4.55,4.64,4.46,513900.67
2025-03-27,4.53,4.57,4.61,4.47,373425.18
2025-03-28,4.58,4.54,4.6,4.46,292240.7
2025-03-31,4.52,4.42,4.54,4.37,322857.52
2025-04-01,4.42,4.52,4.56,4.37,374237.39
2025-04-02,4.52,4.47,4.54,4.46,215856.0
2025-04-03,4.45,4.5,4.51,4.43,193828.73
2025-04-07,4.4,4.13,4.43,4.07,519088.04
2025-04-08,4.17,4.19,4.23,4.11,420217.92
2025-04-09,4.16,4.06,4.16,4.0,597513.66
2025-04-10,4.08,4.1,4.15,4.03,450514.69
2025-04-11,4.07,4.03,4.09,4.02,342623.48
2025-04-14,4.05,4.06,4.07,4.02,405841.4
2025-04-15,4.06,4.03,4.07,4.0,378743.0
2025-04-16,4.03,4.0,4.05,3.99,330459.0
2025-04-17,4.0,4.05,4.08,3.99,345304.03
2025-04-18,4.05,4.06,4.08,4.02,180717.0
2025-04-21,4.06,4.06,4.15,4.04,369031.0
2025-04-22,4.06,4.09,4.11,4.03,281167.03
2025-04-23,4.1,4.13,4.18,4.09,398420.38
